orig_index,lat,lon,datetime,error
115,38.954896,-76.990136,2011/02/22 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
116,38.929666,-77.028461,2011/02/27 07:00:00+00,index 11 is out of bounds for axis 0 with size 10
117,38.915703,-77.032212,2011/02/25 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
118,38.916687,-77.02649,2011/02/26 05:15:00+00,index 11 is out of bounds for axis 0 with size 10
119,38.883196,-76.941366,2011/02/27 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
120,38.959976,-77.085321,2011/02/28 02:35:00+00,index 11 is out of bounds for axis 0 with size 10
121,38.973309,-77.05783,2011/02/25 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
122,38.899707,-76.9932,2011/02/25 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
123,38.877951,-76.983431,2011/03/01 17:14:00+00,index 11 is out of bounds for axis 0 with size 10
124,38.954264,-77.021252,2011/03/01 22:30:00+00,index 11 is out of bounds for axis 0 with size 10
125,38.899099,-76.985947,2011/03/04 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
126,38.906742,-76.979087,2011/03/07 01:30:00+00,index 11 is out of bounds for axis 0 with size 10
127,38.916948,-76.955572,2011/03/06 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
128,38.889402,-76.980765,2011/03/06 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
129,38.893116,-76.936722,2011/03/07 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
130,38.951276,-77.007844,2011/12/17 07:00:00+00,index 11 is out of bounds for axis 0 with size 10
131,38.952453,-77.080844,2011/12/18 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
132,38.969215,-77.02655,2011/12/17 01:48:00+00,index 11 is out of bounds for axis 0 with size 10
133,38.90404,-77.018575,2011/12/17 06:53:00+00,index 11 is out of bounds for axis 0 with size 10
134,38.906444,-77.027037,2010/08/27 08:40:00+00,index 11 is out of bounds for axis 0 with size 10
135,38.928596,-77.080247,2010/08/26 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
136,38.923226,-77.037155,2010/08/27 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
137,38.896211,-76.932566,2010/08/29 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
138,38.932364,-77.029718,2010/08/28 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
139,38.927073,-77.032472,2010/09/01 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
140,38.940884,-77.084252,2010/09/01 19:30:00+00,index 11 is out of bounds for axis 0 with size 10
141,38.928957,-77.024728,nan,index 11 is out of bounds for axis 0 with size 10
142,38.931863,-77.085143,2010/09/01 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
143,38.897397,-77.036551,2010/09/02 02:30:00+00,index 11 is out of bounds for axis 0 with size 10
144,38.91266,-76.993723,2010/09/03 22:50:00+00,index 11 is out of bounds for axis 0 with size 10
145,38.916948,-76.955572,2010/09/03 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
146,38.832969,-77.005996,2010/09/04 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
147,38.932652,-77.072524,2010/09/05 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
148,38.94696,-76.989753,2010/09/05 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
149,38.859412,-76.984516,2010/09/04 22:30:00+00,index 11 is out of bounds for axis 0 with size 10
150,38.90313,-77.029625,2010/10/31 05:30:00+00,index 11 is out of bounds for axis 0 with size 10
151,38.861877,-76.959586,2010/10/15 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
152,38.874875,-77.016882,2001/01/01 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
153,38.978775,-77.027873,2010/11/02 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
154,38.859538,-76.99558,2010/10/19 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
155,38.893319,-76.982461,2010/10/21 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
156,38.864914,-76.987702,2010/10/19 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
157,38.926102,-77.008481,2010/10/23 02:32:00+00,index 11 is out of bounds for axis 0 with size 10
158,38.823551,-77.001974,2010/10/25 10:20:00+00,index 11 is out of bounds for axis 0 with size 10
159,38.920911,-76.980473,2010/10/27 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
160,38.895609,-77.01893,2010/10/28 23:30:00+00,index 11 is out of bounds for axis 0 with size 10
161,38.921747,-76.984113,2010/11/06 14:30:00+00,index 11 is out of bounds for axis 0 with size 10
162,38.903892,-76.992888,2010/11/07 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
163,38.840201,-76.996222,2010/11/09 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
164,38.966326,-77.028612,2010/11/11 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
165,38.902892,-77.047832,2010/11/12 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
166,38.904372,-76.978808,2010/11/14 11:30:00+00,index 11 is out of bounds for axis 0 with size 10
167,38.916948,-76.955572,2010/11/15 01:57:00+00,index 11 is out of bounds for axis 0 with size 10
168,38.902525,-77.040567,2010/11/17 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
169,38.883239,-77.017964,2010/11/15 21:44:00+00,index 11 is out of bounds for axis 0 with size 10
170,38.854084,-76.971885,2010/11/16 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
171,38.850497,-76.994206,2010/11/17 09:00:00+00,index 11 is out of bounds for axis 0 with size 10
172,38.902517,-77.007672,2010/11/18 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
173,38.904992,-77.061181,2010/11/18 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
174,38.908571,-77.022943,2010/11/17 05:10:00+00,index 11 is out of bounds for axis 0 with size 10
175,38.910714,-77.035951,2010/11/20 18:15:00+00,index 11 is out of bounds for axis 0 with size 10
176,38.94628,-77.079388,2010/11/19 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
177,38.906062,-77.041357,2010/11/21 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
178,38.961174,-77.034678,2010/11/23 01:00:00+00,index 11 is out of bounds for axis 0 with size 10
179,38.916999,-77.029621,2010/11/22 13:30:00+00,index 11 is out of bounds for axis 0 with size 10
180,38.916772,-77.029944,2010/11/25 08:30:00+00,index 11 is out of bounds for axis 0 with size 10
181,38.915232,-77.067495,2010/11/25 00:00:00+00,index 11 is out of bounds for axis 0 with size 10
182,38.937425,-77.027202,2010/11/29 18:10:00+00,index 11 is out of bounds for axis 0 with size 10
183,38.922036,-77.035244,2010/11/29 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
184,38.957121,-77.028153,2010/11/29 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
185,38.9615,-77.043202,2010/11/29 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
186,38.902638,-77.036893,2010/11/29 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
187,38.850827,-76.973448,2010/11/29 12:45:00+00,index 11 is out of bounds for axis 0 with size 10
188,38.896103,-76.934066,2010/12/02 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
189,38.91884,-76.991895,2010/11/24 05:29:00+00,index 11 is out of bounds for axis 0 with size 10
190,38.899574,-77.050131,2010/11/30 22:30:00+00,index 11 is out of bounds for axis 0 with size 10
191,38.901983,-77.03241,2010/10/30 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
192,38.902642,-77.051839,2010/10/31 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
193,38.898994,-76.975676,2010/11/01 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
194,38.890032,-76.917787,2010/11/02 14:10:00+00,index 11 is out of bounds for axis 0 with size 10
195,38.853688,-76.995955,2010/11/01 03:00:00+00,index 11 is out of bounds for axis 0 with size 10
196,38.92675,-77.027046,2010/11/02 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
197,38.868135,-76.964773,2010/11/08 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
198,38.826975,-77.001247,2010/11/03 22:07:00+00,index 11 is out of bounds for axis 0 with size 10
199,38.926292,-77.038035,2010/10/04 17:00:00+00,index 11 is out of bounds for axis 0 with size 10
